idComune,codComune,nomeComune,id_Comune,codComune,nomeComune,lantPunto,lonPunto
284,1058,Carignano,285,1059,Carmagnola,44.8700926304355,7.678748096221176
4322,36016,Frassinoro,3911,46010,Castiglione di Garfagnana,44.18981187442809,10.48125292196454
293,1067,Castelnuovo Nigra,310,1084,Cintano,45.452654620154526,7.680641464099091
3922,46023,Piazza al Serchio,3934,46037,Sillano Giuncugnano,44.24286877616172,10.267376713743927
247,1021,Barbania,512,1290,Vauda Canavese,45.30386185497392,7.658729526483971
4190,33017,Corte Brugnatella,744,18021,Brallo di Pregola,44.7026097124091,9.295367209885354
5024,64098,Senerchia,874,64014,Calabritto,40.74386173653493,15.239496113323396
1367,6043,Cassine,915,6161,Sezzadio,44.78004132368081,8.559963749651471
1281,5039,Cinaglio,1258,5016,Camerano Casasco,44.98074697197109,8.091467815198168
1258,5016,Camerano Casasco,1316,5075,Montechiaro d'Asti,44.987920835691305,8.108922018121886
898,6144,Rivalta Bormida,1367,6043,Cassine,44.72358214484123,8.539890296109515
2565,22035,Calliano,2551,22013,Besenello,45.95739309757446,11.11635467590148
2985,18113,Pieve del Cairo,2962,18090,Mezzana Bigli,45.05566082954144,8.864036164486894
5420,71039,Pietramontecorvino,5410,71028,Lucera,41.5430582996373,15.210187943864163
5434,71054,Stornara,5417,71036,Orta Nova,41.322602031613165,15.770422330236977
3485,30045,Grimacco,3475,30034,Drenchia,46.160069945535184,13.647347204659926
4043,50033,Santa Croce sull'Arno,4022,50009,Castelfranco di Sotto,43.75226827423148,10.690958638355417
4509,41038,Monte Porzio,4577,42050,Trecastelli,43.72169689794109,13.089601400055368
4844,62049,Paupisi,4871,62076,Torrecuso,41.20099571610678,14.673614737375452
4930,63057,Pomigliano d'Arco,4945,63072,Sant'Anastasia,40.88888218241653,14.389360503845323
5019,64092,Sant'Angelo dei Lombardi,4973,64044,Lioni,40.8964706750183,15.18901970332363
5316,61022,Caserta,5309,61015,Capua,41.12341708268394,14.279794782493761
5444,72001,Acquaviva delle Fonti,5455,72016,Cassano delle Murge,40.87033503613615,16.800538735257028
5473,72035,Polignano a Mare,5458,72019,Conversano,40.94266197983512,17.156517233229806
5449,72008,Binetto,5463,72024,Grumo Appula,41.0174276149547,16.70477538405227
5466,72028,Mola di Bari,5475,72037,Rutigliano,41.03053935034368,17.03653644485023
5480,72043,Terlizzi,5476,72038,Ruvo di Puglia,41.07148537520314,16.516387519730735
5444,72001,Acquaviva delle Fonti,5479,72041,Santeramo in Colle,40.813215102667144,16.8420929245556
5826,65129,Sant'Arsenio,5843,65146,Teggiano,40.42223604787973,15.53026346507642
6174,70014,Castellino del Biferno,6212,70052,Petrella Tifernina,41.678915268065126,14.722137582737798
6558,80068,Roghudi,6540,80050,Melito di Porto Salvo,37.92470365726224,15.76923955208401
7270,87023,Mascali,7248,87017,Giarre,37.73509254209558,15.166681705656874
7287,87029,Misterbianco,7288,87030,Motta Sant'Anastasia,37.47432510308058,14.974947276142883
7264,82063,San Cipirello,7296,82049,Monreale,37.96217212893691,13.166105901584759
7475,85018,Serradifalco,7424,85004,Caltanissetta,37.44600101268207,13.962605819036789
7263,82062,Roccapalumba,7492,82014,Caccamo,37.82600620282749,13.677648273167465
7381,84036,San Giovanni Gemini,7503,84009,Cammarata,37.607819014185196,13.625204687236534
